"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"        No health insurance coverage","2,133","4.7%"
"    Civilian noninstitutionalized population 18 to 64 years","99,335","99,335"
"        In labor force:","78,456","78,456"
"            Employed:","74,706","74,706"
"                With health insurance coverage","68,536","91.7%"
"                    With private health insurance","62,181","83.2%"
"                    With public coverage","8,927","11.9%"
"                No health insurance coverage","6,170","8.3%"
"            Unemployed:","3,750","3,750"
"                With health insurance coverage","3,185","84.9%"
"                    With private health insurance","1,832","48.9%"
"                    With public coverage","1,410","37.6%"
"                No health insurance coverage","565","15.1%"
"        Not in labor force:","20,879","20,879"
"            With health insurance coverage","18,273","87.5%"
"                With private health insurance","13,061","62.6%"
"                With public coverage","7,436","35.6%"
"            No health insurance coverage","2,606","12.5%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","",""
"    All families","(X)","4.7%"
"        With related children of the householder under 18 years","(X)","8.1%"
"            With related children of the householder under 5 years only","(X)","14.3%"
"    Married couple families","(X)","1.9%"
"        With related children of the householder under 18 years","(X)","2.3%"
"            With related children of the householder under 5 years only","(X)","4.4%"
"    Families with female householder, no husband present","(X)","12.6%"
"        With related children of the householder under 18 years","(X)","18.6%"
"            With related children of the householder under 5 years only","(X)","23.3%"
"    All people","(X)","7.0%"
"    Under 18 years","(X)","9.1%"
"        Related children of the householder under 18 years","(X)","8.6%"
"            Related children of the householder under 5 years","(X)","11.9%"
"            Related children of the householder 5 to 17 years","(X)","7.3%"
"    18 years and over","(X)","6.3%"
"    18 to 64 years","(X)","6.5%"
"    65 years and over","(X)","5.3%"
"        People in families","(X)","4.8%"
"        Unrelated individuals 15 years and over","(X)","18.7%"
