"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"        $150,000 to $199,999","3,491","5.9%"
"        $200,000 or more","2,742","4.6%"
"        Median household income (dollars)","59,377","(X)"
"        Mean household income (dollars)","76,661","(X)"
"    With earnings","44,673","75.2%"
"        Mean earnings (dollars)","79,573","(X)"
"    With Social Security","19,125","32.2%"
"        Mean Social Security income (dollars)","19,710","(X)"
"    With retirement income","12,962","21.8%"
"        Mean retirement income (dollars)","24,772","(X)"
"    With Supplemental Security Income","1,535","2.6%"
"        Mean Supplemental Security Income (dollars)","11,334","(X)"
"    With cash public assistance income","501","0.8%"
"        Mean cash public assistance income (dollars)","5,531","(X)"
"    With Food Stamp/SNAP benefits in the past 12 months","3,553","6.0%"
"    Families","41,225","41,225"
"        Less than $10,000","1,400","3.4%"
"        $10,000 to $14,999","955","2.3%"
"        $15,000 to $24,999","2,077","5.0%"
"        $25,000 to $34,999","4,433","10.8%"
"        $35,000 to $49,999","5,103","12.4%"
"        $50,000 to $74,999","8,074","19.6%"
"        $75,000 to $99,999","5,982","14.5%"
"        $100,000 to $149,999","7,440","18.0%"
"        $150,000 to $199,999","3,150","7.6%"
"        $200,000 or more","2,611","6.3%"
"        Median family income (dollars)","68,926","(X)"
"        Mean family income (dollars)","85,859","(X)"
"    Per capita income (dollars)","28,975","(X)"
"    Nonfamily households","18,213","18,213"
"        Median nonfamily income (dollars)","38,705","(X)"
"        Mean nonfamily income (dollars)","51,648","(X)"
"    Median earnings for workers (dollars)","35,813","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","50,995","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","41,305","(X)"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","161,385","161,385"
"        With health insurance coverage","140,233","86.9%"
"            With private health insurance","113,217","70.2%"
"            With public coverage","46,415","28.8%"
"        No health insurance coverage","21,152","13.1%"
"    Civilian noninstitutionalized population under 18 years","42,005","42,005"
"        No health insurance coverage","4,453","10.6%"
"    Civilian noninstitutionalized population 18 to 64 years","93,735","93,735"
"        In labor force:","73,434","73,434"
"            Employed:","68,430","68,430"
"                With health insurance coverage","59,302","86.7%"
"                    With private health insurance","55,997","81.8%"
"                    With public coverage","4,582","6.7%"
"                No health insurance coverage","9,128","13.3%"
"            Unemployed:","5,004","5,004"
"                With health insurance coverage","2,884","57.6%"
"                    With private health insurance","2,312","46.2%"
"                    With public coverage","621","12.4%"
"                No health insurance coverage","2,120","42.4%"
"        Not in labor force:","20,301","20,301"
"            With health insurance coverage","15,266","75.2%"
"                With private health insurance","10,266","50.6%"
"                With public coverage","6,408","31.6%"
"            No health insurance coverage","5,035","24.8%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","",""
"    All families","(X)","8.1%"
"        With related children under 18 years","(X)","11.9%"
"            With related children under 5 years only","(X)","11.7%"
"    Married couple families","(X)","4.2%"
"        With related children under 18 years","(X)","5.9%"
"            With related children under 5 years only","(X)","5.5%"
"    Families with female householder, no husband present","(X)","20.9%"
"        With related children under 18 years","(X)","25.1%"
"            With related children under 5 years only","(X)","39.8%"
"    All people","(X)","11.5%"
"    Under 18 years","(X)","15.3%"
"        Related children under 18 years","(X)","15.3%"
"            Related children under 5 years","(X)","23.1%"
"            Related children 5 to 17 years","(X)","12.6%"
"    18 years and over","(X)","10.2%"
"    18 to 64 years","(X)","10.4%"
"    65 years and over","(X)","9.6%"
"        People in families","(X)","10.2%"
"        Unrelated individuals 15 years and over","(X)","18.0%"
