"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"    Unpaid family workers","148","0.2%"
"INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)","",""
"    Total households","56,870","56,870"
"    Less than $10,000","2,098","3.7%"
"    $10,000 to $14,999","2,742","4.8%"
"    $15,000 to $24,999","5,515","9.7%"
"    $25,000 to $34,999","4,719","8.3%"
"    $35,000 to $49,999","8,078","14.2%"
"    $50,000 to $74,999","10,557","18.6%"
"    $75,000 to $99,999","7,819","13.7%"
"    $100,000 to $149,999","10,588","18.6%"
"    $150,000 to $199,999","2,828","5.0%"
"    $200,000 or more","1,926","3.4%"
"    Median household income (dollars)","61,880","(X)"
"    Mean household income (dollars)","75,614","(X)"
"    With earnings","45,191","79.5%"
"        Mean earnings (dollars)","77,146","(X)"
"    With Social Security","16,802","29.5%"
"        Mean Social Security income (dollars)","18,189","(X)"
"    With retirement income","10,355","18.2%"
"        Mean retirement income (dollars)","24,003","(X)"
"    With Supplemental Security Income","2,190","3.9%"
"        Mean Supplemental Security Income (dollars)","11,227","(X)"
"    With cash public assistance income","676","1.2%"
"        Mean cash public assistance income (dollars)","2,091","(X)"
"    With Food Stamp/SNAP benefits in the past 12 months","4,877","8.6%"
"    Families","40,574","40,574"
"    Less than $10,000","1,331","3.3%"
"    $10,000 to $14,999","1,041","2.6%"
"    $15,000 to $24,999","2,125","5.2%"
"    $25,000 to $34,999","3,248","8.0%"
"    $35,000 to $49,999","6,021","14.8%"
"    $50,000 to $74,999","6,985","17.2%"
"    $75,000 to $99,999","6,574","16.2%"
"    $100,000 to $149,999","9,095","22.4%"
"    $150,000 to $199,999","2,448","6.0%"
"    $200,000 or more","1,706","4.2%"
"    Median family income (dollars)","72,958","(X)"
"    Mean family income (dollars)","85,169","(X)"
"    Per capita income (dollars)","27,864","(X)"
"    Nonfamily households","16,296","16,296"
"    Median nonfamily income (dollars)","34,704","(X)"
"    Mean nonfamily income (dollars)","46,978","(X)"
"    Median earnings for workers (dollars)","35,524","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","51,614","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","40,558","(X)"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","158,766","158,766"
"    With health insurance coverage","138,672","87.3%"
"        With private health insurance","112,404","70.8%"
"        With public coverage","42,424","26.7%"
"    No health insurance coverage","20,094","12.7%"
"    Civilian noninstitutionalized population under 18 years","43,267","43,267"
"    No health insurance coverage","3,972","9.2%"
"    Civilian noninstitutionalized population 18 to 64 years","93,158","93,158"
"    In labor force:","74,791","74,791"
"        Employed:","70,307","70,307"
"            With health insurance coverage","59,608","84.8%"
"                With private health insurance","56,289","80.1%"
"                With public coverage","4,577","6.5%"
"            No health insurance coverage","10,699","15.2%"
"        Unemployed:","4,484","4,484"
"            With health insurance coverage","2,959","66.0%"
"                With private health insurance","1,713","38.2%"
"                With public coverage","1,424","31.8%"
"            No health insurance coverage","1,525","34.0%"
"    Not in labor force:","18,367","18,367"
"        With health insurance coverage","14,613","79.6%"
"            With private health insurance","10,190","55.5%"
"            With public coverage","5,758","31.3%"
"        No health insurance coverage","3,754","20.4%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","",""
"    All families","(X)","7.6%"
"        With related children under 18 years","(X)","11.1%"
"            With related children under 5 years only","(X)","4.5%"
"    Married couple families","(X)","3.6%"
"        With related children under 18 years","(X)","4.1%"
"            With related children under 5 years only","(X)","4.1%"
"    Families with female householder, no husband present","(X)","20.0%"
"        With related children under 18 years","(X)","25.4%"
"            With related children under 5 years only","(X)","13.0%"
"    All people","(X)","9.0%"
"    Under 18 years","(X)","14.1%"
"        Related children under 18 years","(X)","13.2%"
"            Related children under 5 years","(X)","11.6%"
"            Related children 5 to 17 years","(X)","13.6%"
"    18 years and over","(X)","7.2%"
"        18 to 64 years","(X)","7.6%"
"        65 years and over","(X)","5.1%"
"    People in families","(X)","7.9%"
"    Unrelated individuals 15 years and over","(X)","15.3%"
