"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"        Median household income (dollars)","77,368","(X)"
"        Mean household income (dollars)","91,456","(X)"
"        With earnings","48,327","72.9%"
"            Mean earnings (dollars)","93,680","(X)"
"        With Social Security","24,257","36.6%"
"            Mean Social Security income (dollars)","22,025","(X)"
"        With retirement income","22,273","33.6%"
"            Mean retirement income (dollars)","27,685","(X)"
"        With Supplemental Security Income","2,147","3.2%"
"            Mean Supplemental Security Income (dollars)","7,363","(X)"
"        With cash public assistance income","526","0.8%"
"            Mean cash public assistance income (dollars)","2,448","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","3,934","5.9%"
"    Families","47,618","47,618"
"        Less than $10,000","1,585","3.3%"
"        $10,000 to $14,999","454","1.0%"
"        $15,000 to $24,999","1,905","4.0%"
"        $25,000 to $34,999","1,739","3.7%"
"        $35,000 to $49,999","4,321","9.1%"
"        $50,000 to $74,999","8,322","17.5%"
"        $75,000 to $99,999","7,455","15.7%"
"        $100,000 to $149,999","12,373","26.0%"
"        $150,000 to $199,999","5,142","10.8%"
"        $200,000 or more","4,322","9.1%"
"        Median family income (dollars)","92,962","(X)"
"        Mean family income (dollars)","104,942","(X)"
"    Per capita income (dollars)","35,583","(X)"
"    Nonfamily households","18,700","18,700"
"        Median nonfamily income (dollars)","39,203","(X)"
"        Mean nonfamily income (dollars)","52,463","(X)"
"    Median earnings for workers (dollars)","42,113","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","60,655","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","48,934","(X)"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","174,933","174,933"
"        With health insurance coverage","162,507","92.9%"
"            With private health insurance","127,481","72.9%"
"            With public coverage","58,339","33.3%"
"        No health insurance coverage","12,426","7.1%"
"    Civilian noninstitutionalized population under 19 years","38,414","38,414"
"        No health insurance coverage","1,995","5.2%"
"    Civilian noninstitutionalized population 19 to 64 years","101,587","101,587"
"        In labor force:","77,571","77,571"
"            Employed:","75,079","75,079"
"                With health insurance coverage","68,375","91.1%"
"                    With private health insurance","64,577","86.0%"
"                    With public coverage","6,433","8.6%"
"                No health insurance coverage","6,704","8.9%"
"            Unemployed:","2,492","2,492"
"                With health insurance coverage","1,816","72.9%"
"                    With private health insurance","760","30.5%"
"                    With public coverage","1,166","46.8%"
"                No health insurance coverage","676","27.1%"
"        Not in labor force:","24,016","24,016"
"            With health insurance coverage","21,409","89.1%"
"                With private health insurance","14,393","59.9%"
"                With public coverage","9,021","37.6%"
"            No health insurance coverage","2,607","10.9%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","",""
"    All families","(X)","6.1%"
"        With related children of the householder under 18 years","(X)","10.1%"
"            With related children of the householder under 5 years only","(X)","19.5%"
"        Married couple families","(X)","4.6%"
"            With related children of the householder under 18 years","(X)","6.9%"
"                With related children of the householder under 5 years only","(X)","10.8%"
"        Families with female householder, no spouse present","(X)","16.2%"
"            With related children of the householder under 18 years","(X)","26.4%"
"                With related children of the householder under 5 years only","(X)","54.8%"
"    All people","(X)","8.8%"
"        Under 18 years","(X)","9.1%"
"            Related children of the householder under 18 years","(X)","9.1%"
"                Related children of the householder under 5 years","(X)","13.7%"
"                Related children of the householder 5 to 17 years","(X)","7.3%"
"        18 years and over","(X)","8.7%"
"            18 to 64 years","(X)","8.4%"
"            65 years and over","(X)","9.9%"
"        People in families","(X)","6.3%"
"        Unrelated individuals 15 years and over","(X)","23.4%"
